"ID","NeighborID","Counter","Ticks"
"17","47",14299,5706
"17","255",14300,5706
"17","255",14301,5707
"17","255",14302,5707
"17","255",14303,5708
"17","255",14304,5708
"17","9",14305,5708
"17","6",14306,5709
"17","6",14307,5709
"17","11",14308,5710
"17","11",14309,5710
"17","15",14310,5710
"17","10",14311,5711
"17","10",14312,5711
"17","10",14313,5712
"17","29",14314,5712
"17","29",14315,5712
"17","29",14316,5713
"17","35",14317,5713
"17","35",14318,5714
"17","35",14319,5714
"17","35",14320,5715
"17","32",14321,5715
"17","33",14322,5715
"17","33",14323,5716
"17","33",14324,5716
"17","7",14325,5717
"17","7",14326,5717
"17","7",14327,5717
"17","7",14328,5718
"17","7",14329,5718
"17","36",14330,5719
"17","36",14331,5719
"17","9",14332,5719
"17","9",14333,5720
"17","9",14334,5720
"17","34",14335,5721
"17","34",14336,5721
"17","25",14337,5721
"17","25",14338,5722
"17","255",14339,5722
"17","255",14340,5723
"17","255",14341,5723
"17","255",14342,5724
"17","255",14343,5724
"17","255",14344,5724
"17","255",14345,5725
"17","255",14346,5725
"17","255",14347,5726
"17","255",14348,5726
"17","255",14349,5726
"17","11",14350,5727
"17","11",14351,5727
"17","11",14352,5728
"17","6",14353,5728
"17","9",14354,5728
"17","9",14355,5729
"17","9",14356,5729
"17","9",14357,5730
"17","9",14358,5730
"17","9",14359,5730
"17","10",14360,5731
"17","29",14361,5731
"17","32",14362,5732
"17","35",14363,5732
"17","35",14364,5732
"17","35",14365,5733
"17","33",14366,5733
"17","33",14367,5734
"17","33",14368,5734
"17","33",14369,5734
"17","14",14370,5735
"17","14",14371,5735
"17","14",14372,5736
"17","14",14373,5736
"17","45",14374,5736
"17","22",14375,5737
"17","22",14376,5737
"17","22",14377,5738
"17","24",14378,5738
"17","24",14379,5738
"17","24",14380,5739
"17","24",14381,5739
"17","25",14382,5740
"17","25",14383,5740
"17","47",14384,5741
"17","47",14385,5741
"17","20",14386,5741
"17","20",14387,5742
"17","20",14388,5742
"17","20",14389,5743
"17","4",14390,5743
"17","11",14391,5743
"17","11",14392,5744
"17","41",14393,5744
"17","41",14394,5745
"17","41",14395,5745
"17","41",14396,5745
"17","41",14397,5746
"17","41",14398,5746
"17","6",14399,5747
"17","6",14400,5747
"17","6",14401,5747
"17","6",14402,5748
"17","6",14403,5748
"17","9",14404,5749
"17","35",14405,5749
"17","35",14406,5749
"17","29",14407,5750
"17","33",14408,5750
"17","10",14409,5751
"17","10",14410,5751
"17","10",14411,5752
"17","10",14412,5752
"17","34",14413,5752
"17","34",14414,5753
"17","34",14415,5753
"17","34",14416,5754
"17","34",14417,5754
"17","34",14418,5754
"17","34",14419,5755
"17","34",14420,5755
"17","255",14421,5756
"17","255",14422,5756
"17","22",14423,5756
"17","24",14424,5757
"17","9",14425,5757
"17","9",14426,5758
"17","31",14427,5758
"17","47",14428,5758
"17","47",14429,5759
"17","47",14430,5759
"17","15",14431,5760
"17","15",14432,5760
"17","20",14433,5761
"17","12",14434,5761
"17","12",14435,5761
"17","11",14436,5762
"17","4",14437,5762
"17","4",14438,5763
"17","4",14439,5763
"17","4",14440,5763
"17","4",14441,5764
"17","4",14442,5764
"17","4",14443,5765
"17","4",14444,5765
"17","4",14445,5765
"17","6",14446,5766
"17","6",14447,5766
"17","6",14448,5767
"17","6",14449,5767
"17","33",14450,5767
"17","32",14451,5768
"17","32",14452,5768
"17","9",14453,5769
"17","29",14454,5769
"17","29",14455,5769
"17","29",14456,5770
