"Ticks","Cycles","Counter"
4104,6,1096
4104,6,1097
4104,6,1098
4104,6,1099
4105,6,1100
4105,6,1101
4105,6,1102
4106,6,1103
4106,6,1104
4106,6,1105
4107,6,1106
4107,6,1107
4107,6,1108
4107,6,1109
4108,6,1110
4108,6,1111
4108,6,1112
4109,6,1113
4109,6,1114
4109,6,1115
4110,6,1116
4110,6,1117
4110,6,1118
4110,6,1119
4111,6,1120
4111,6,1121
4111,6,1122
4112,6,1123
4112,6,1124
4112,6,1125
4112,6,1126
4113,6,1127
4113,6,1128
4113,6,1129
4114,6,1130
4114,6,1131
4114,6,1132
4115,6,1133
4115,6,1134
4115,6,1135
4115,6,1136
4116,6,1137
4116,6,1138
4116,6,1139
4117,6,1140
4117,6,1141
4117,6,1142
4117,6,1143
4118,6,1144
4118,6,1145
4118,6,1146
4119,6,1147
4119,6,1148
4119,6,1149
4120,6,1150
4120,6,1151
4120,6,1152
4120,6,1153
4121,6,1154
4121,6,1155
4121,6,1156
4122,6,1157
4122,6,1158
4122,6,1159
4122,6,1160
4123,6,1161
4123,6,1162
4123,6,1163
4124,6,1164
4124,6,1165
4124,6,1166
4125,6,1167
4125,6,1168
4125,6,1169
4125,6,1170
4126,6,1171
4126,6,1172
4126,6,1173
4127,6,1174
4127,6,1175
4127,6,1176
4128,6,1177
4128,6,1178
4128,6,1179
4128,6,1180
4129,6,1181
4129,6,1182
4129,6,1183
4130,6,1184
4130,6,1185
4130,6,1186
4131,6,1187
4131,6,1188
4131,6,1189
4131,6,1190
4132,6,1191
4132,6,1192
4132,6,1193
4133,6,1194
4133,6,1195
4133,6,1196
4133,6,1197
4134,6,1198
4134,6,1199
4134,6,1200
4135,6,1201
4135,6,1202
4135,6,1203
4136,7,1204
4136,7,1205
4136,7,1206
4136,7,1207
4137,7,1208
4137,7,1209
4137,7,1210
4138,7,1211
4138,7,1212
4138,7,1213
4138,7,1214
4139,7,1215
4139,7,1216
4139,7,1217
4140,7,1218
4140,7,1219
4140,7,1220
4141,7,1221
4141,7,1222
4141,7,1223
4141,7,1224
4142,7,1225
4142,7,1226
4142,7,1227
4143,7,1228
4143,7,1229
4143,7,1230
4143,7,1231
4144,7,1232
4144,7,1233
4144,7,1234
4145,7,1235
4145,7,1236
4145,7,1237
4146,7,1238
4146,7,1239
4146,7,1240
4147,7,1241
4147,7,1242
4147,7,1243
4147,7,1244
4148,7,1245
4148,7,1246
4148,7,1247
4149,7,1248
4149,7,1249
4149,7,1250
4149,7,1251
4150,7,1252
4150,7,1253
4150,7,1254
4151,7,1255
4151,7,1256
4151,7,1257
4152,7,1258
4152,7,1259
4152,7,1260
4152,7,1261
4153,7,1262
4153,7,1263
4153,7,1264
4154,7,1265
4154,7,1266
4154,7,1267
4154,7,1268
4155,7,1269
4155,7,1270
4155,7,1271
4156,7,1272
4156,7,1273
4156,7,1274
4157,7,1275
4157,7,1276
4157,7,1277
4157,7,1278
4158,7,1279
4158,7,1280
4158,7,1281
4159,7,1282
4159,7,1283
4159,7,1284
4159,7,1285
4160,7,1286
4160,7,1287
4160,7,1288
4161,7,1289
4161,7,1290
4161,7,1291
4162,7,1292
4162,7,1293
4162,7,1294
4163,7,1295
4163,7,1296
4163,7,1297
4163,7,1298
4164,7,1299
4164,7,1300
4164,7,1301
4165,7,1302
4165,7,1303
4165,7,1304
4165,7,1305
4166,7,1306
4166,7,1307
4166,7,1308
4167,7,1309
4167,7,1310
4167,7,1311
4168,7,1312
4168,7,1313
4168,7,1314
4168,7,1315
4169,7,1316
4169,7,1317
4169,7,1318
4170,7,1319
4170,7,1320
4170,7,1321
4170,7,1322
4171,7,1323
4171,7,1324
4171,7,1325
4172,7,1326
4172,7,1327
4172,7,1328
4173,7,1329
4173,7,1330
4173,7,1331
4173,7,1332
4174,7,1333
4174,7,1334
4174,7,1335
4175,7,1336
4175,7,1337
4175,7,1338
4175,7,1339
4176,7,1340
4176,7,1341
4176,7,1342
4177,7,1343
4177,7,1344
4177,7,1345
4177,7,1346
4178,7,1347
4178,7,1348
4178,7,1349
4179,7,1350
4179,7,1351
4179,7,1352
4180,7,1353
4180,7,1354
4180,7,1355
4180,7,1356
4181,7,1357
4181,7,1358
4181,7,1359
4182,7,1360
4182,7,1361
4182,7,1362
4183,7,1363
4183,7,1364
4183,7,1365
4183,7,1366
4184,7,1367
4184,7,1368
4184,7,1369
4185,7,1370
4185,7,1371
4185,7,1372
4186,7,1373
4186,7,1374
4186,7,1375
4186,8,1376
4187,8,1377
4187,8,1378
4187,8,1379
4188,8,1380
4188,8,1381
4188,8,1382
4188,8,1383
4189,8,1384
4189,8,1385
4189,8,1386
4190,8,1387
4190,8,1388
4190,8,1389
4191,8,1390
4191,8,1391
4191,8,1392
4191,8,1393
4192,8,1394
4192,8,1395
4192,8,1396
4193,8,1397
4193,8,1398
4193,8,1399
4193,8,1400
4194,8,1401
4194,8,1402
4194,8,1403
4195,8,1404
4195,8,1405
4195,8,1406
4196,8,1407
4196,8,1408
4196,8,1409
4196,8,1410
4197,8,1411
4197,8,1412
4197,8,1413
4198,8,1414
4198,8,1415
4198,8,1416
4198,8,1417
4199,8,1418
4199,8,1419
4199,8,1420
4200,8,1421
4200,8,1422
4200,8,1423
4201,8,1424
4201,8,1425
4201,8,1426
4202,8,1427
4202,8,1428
4202,8,1429
4202,8,1430
4203,8,1431
4203,8,1432
4203,8,1433
4204,8,1434
4204,8,1435
4204,8,1436
4204,8,1437
4205,8,1438
4205,8,1439
4205,8,1440
4206,8,1441
4206,8,1442
4206,8,1443
4207,8,1444
4207,8,1445
4207,8,1446
4207,8,1447
4208,8,1448
4208,8,1449
4208,8,1450
4209,8,1451
4209,8,1452
4209,8,1453
4209,8,1454
4210,8,1455
4210,8,1456
4210,8,1457
4211,8,1458
4211,8,1459
4211,8,1460
4212,8,1461
4212,8,1462
4212,8,1463
4212,8,1464
4213,8,1465
4213,8,1466
4213,8,1467
4214,8,1468
4214,8,1469
4214,8,1470
4214,8,1471
4215,8,1472
4215,8,1473
4215,8,1474
4216,8,1475
4216,8,1476
4216,8,1477
4217,8,1478
4217,8,1479
4217,8,1480
4217,8,1481
4218,8,1482
4218,8,1483
4218,8,1484
4219,8,1485
4219,8,1486
4219,8,1487
4220,8,1488
4220,8,1489
4220,8,1490
4220,8,1491
4221,8,1492
4221,8,1493
4221,8,1494
4222,8,1495
4222,8,1496
4222,8,1497
4223,8,1498
4223,8,1499
4223,8,1500
4223,8,1501
4224,8,1502
4224,8,1503
4224,8,1504
4225,8,1505
4225,8,1506
4225,8,1507
4225,8,1508
4226,8,1509
4226,8,1510
4226,8,1511
4227,8,1512
4227,8,1513
4227,8,1514
4228,8,1515
4228,8,1516
4228,8,1517
4228,8,1518
4229,8,1519
4229,8,1520
4229,8,1521
4230,8,1522
4230,8,1523
4230,8,1524
4230,8,1525
4231,8,1526
4231,8,1527
4231,8,1528
4232,8,1529
4232,8,1530
4232,8,1531
4232,8,1532
4233,8,1533
4233,8,1534
4233,8,1535
4234,8,1536
4234,8,1537
4234,8,1538
4235,8,1539
4235,8,1540
4235,8,1541
4235,8,1542
4236,8,1543
4236,8,1544
4236,8,1545
4237,8,1546
4237,8,1547
4237,9,1548
4238,9,1549
4238,9,1550
4238,9,1551
4238,9,1552
4239,9,1553
4239,9,1554
4239,9,1555
4240,9,1556
4240,9,1557
4240,9,1558
4241,9,1559
4241,9,1560
4241,9,1561
4241,9,1562
4242,9,1563
4242,9,1564
4242,9,1565
4243,9,1566
4243,9,1567
4243,9,1568
4243,9,1569
4244,9,1570
4244,9,1571
4244,9,1572
4245,9,1573
4245,9,1574
4245,9,1575
4246,9,1576
4246,9,1577
4246,9,1578
4246,9,1579
4247,9,1580
4247,9,1581
4247,9,1582
4248,9,1583
4248,9,1584
4248,9,1585
4248,9,1586
4249,9,1587
4249,9,1588
4249,9,1589
4250,9,1590
4250,9,1591
4250,9,1592
4251,9,1593
4251,9,1594
4251,9,1595
4251,9,1596
4252,9,1597
4252,9,1598
4252,9,1599
4253,9,1600
4253,9,1601
4253,9,1602
4253,9,1603
4254,9,1604
4254,9,1605
4254,9,1606
4255,9,1607
4255,9,1608
4255,9,1609
4256,9,1610
4256,9,1611
4256,9,1612
4257,9,1613
4257,9,1614
4257,9,1615
4257,9,1616
4258,9,1617
4258,9,1618
4258,9,1619
4259,9,1620
4259,9,1621
4259,9,1622
4259,9,1623
4260,9,1624
4260,9,1625
4260,9,1626
4261,9,1627
4261,9,1628
4261,9,1629
4262,9,1630
4262,9,1631
4262,9,1632
4262,9,1633
4263,9,1634
4263,9,1635
4263,9,1636
4264,9,1637
4264,9,1638
4264,9,1639
4264,9,1640
4265,9,1641
4265,9,1642
4265,9,1643
4266,9,1644
4266,9,1645
4266,9,1646
4267,9,1647
4267,9,1648
4267,9,1649
4267,9,1650
4268,9,1651
4268,9,1652
4268,9,1653
4269,9,1654
4269,9,1655
4269,9,1656
4269,9,1657
4270,9,1658
4270,9,1659
4270,9,1660
4271,9,1661
4271,9,1662
4271,9,1663
4272,9,1664
4272,9,1665
4272,9,1666
4272,9,1667
4273,9,1668
4273,9,1669
4273,9,1670
4274,9,1671
4274,9,1672
4274,9,1673
4274,9,1674
4275,9,1675
4275,9,1676
4275,9,1677
4276,9,1678
4276,9,1679
4276,9,1680
4277,9,1681
4277,9,1682
4277,9,1683
4278,9,1684
4278,9,1685
4278,9,1686
4278,9,1687
4279,9,1688
4279,9,1689
4279,9,1690
4280,9,1691
4280,9,1692
4280,9,1693
4280,9,1694
4281,9,1695
4281,9,1696
4281,9,1697
4282,9,1698
4282,9,1699
4282,9,1700
4283,9,1701
4283,9,1702
4283,9,1703
4283,9,1704
4284,9,1705
4284,9,1706
4284,9,1707
4285,9,1708
4285,9,1709
4285,9,1710
4285,9,1711
4286,9,1712
4286,9,1713
4286,9,1714
4287,9,1715
4287,9,1716
4287,9,1717
4288,9,1718
4288,9,1719
4288,10,1720
4288,10,1721
4289,10,1722
4289,10,1723
4289,10,1724
4290,10,1725
4290,10,1726
4290,10,1727
4291,10,1728
4291,10,1729
4291,10,1730
4291,10,1731
4292,10,1732
4292,10,1733
4292,10,1734
4293,10,1735
4293,10,1736
4293,10,1737
4294,10,1738
4294,10,1739
4294,10,1740
4295,10,1741
4295,10,1742
4295,10,1743
4295,10,1744
4296,10,1745
4296,10,1746
4296,10,1747
4297,10,1748
4297,10,1749
4297,10,1750
4298,10,1751
4298,10,1752
4298,10,1753
4298,10,1754
4299,10,1755
4299,10,1756
4299,10,1757
4300,10,1758
4300,10,1759
4300,10,1760
4301,10,1761
4301,10,1762
4301,10,1763
4301,10,1764
4302,10,1765
4302,10,1766
4302,10,1767
4303,10,1768
4303,10,1769
4303,10,1770
4304,10,1771
4304,10,1772
4304,10,1773
4305,10,1774
4305,10,1775
4305,10,1776
4305,10,1777
4306,10,1778
4306,10,1779
4306,10,1780
4307,10,1781
4307,10,1782
4307,10,1783
4308,10,1784
4308,10,1785
4308,10,1786
4308,10,1787
4309,10,1788
4309,10,1789
4309,10,1790
4310,10,1791
4310,10,1792
4310,10,1793
4311,10,1794
4311,10,1795
4311,10,1796
4311,10,1797
4312,10,1798
4312,10,1799
4312,10,1800
4313,10,1801
4313,10,1802
4313,10,1803
4314,10,1804
4314,10,1805
4314,10,1806
4315,10,1807
4315,10,1808
4315,10,1809
4316,10,1810
4316,10,1811
4316,10,1812
4316,10,1813
4317,10,1814
4317,10,1815
4317,10,1816
4318,10,1817
4318,10,1818
4318,10,1819
4319,10,1820
4319,10,1821
4319,10,1822
4319,10,1823
4320,10,1824
4320,10,1825
4320,10,1826
4321,10,1827
4321,10,1828
4321,10,1829
4322,10,1830
4322,10,1831
4322,10,1832
4322,10,1833
4323,10,1834
4323,10,1835
4323,10,1836
4324,10,1837
4324,10,1838
4324,10,1839
4325,10,1840
4325,10,1841
4325,10,1842
4325,10,1843
4326,10,1844
4326,10,1845
4326,10,1846
4327,10,1847
4327,10,1848
4327,10,1849
4328,10,1850
4328,10,1851
4328,10,1852
4328,10,1853
4329,10,1854
4329,10,1855
4329,10,1856
4330,10,1857
4330,10,1858
4330,10,1859
4331,10,1860
4331,10,1861
4331,10,1862
4331,10,1863
4332,10,1864
4332,10,1865
4333,10,1866
4333,10,1867
4333,10,1868
4333,10,1869
4334,10,1870
4334,10,1871
4334,10,1872
4335,10,1873
4335,10,1874
4335,10,1875
4336,10,1876
4336,10,1877
4336,10,1878
4336,10,1879
4337,10,1880
4337,10,1881
4337,10,1882
4338,10,1883
4338,10,1884
4338,10,1885
4339,10,1886
4339,10,1887
4339,10,1888
4339,10,1889
4340,10,1890
4340,10,1891
4340,11,1892
4341,11,1893
4341,11,1894
4341,11,1895
4342,11,1896
4342,11,1897
4342,11,1898
4342,11,1899
4343,11,1900
4343,11,1901
4343,11,1902
4344,11,1903
4344,11,1904
4344,11,1905
4345,11,1906
4345,11,1907
4345,11,1908
4345,11,1909
4346,11,1910
4346,11,1911
4346,11,1912
4347,11,1913
4347,11,1914
4347,11,1915
4348,11,1916
4348,11,1917
4348,11,1918
4349,11,1919
4349,11,1920
4349,11,1921
4349,11,1922
4350,11,1923
4350,11,1924
4350,11,1925
4351,11,1926
4351,11,1927
4351,11,1928
4352,11,1929
4352,11,1930
4352,11,1931
4353,11,1932
4353,11,1933
4353,11,1934
4353,11,1935
4354,11,1936
4354,11,1937
4354,11,1938
4355,11,1939
4355,11,1940
4355,11,1941
4356,11,1942
4356,11,1943
4356,11,1944
4356,11,1945
4357,11,1946
4357,11,1947
4357,11,1948
4358,11,1949
4358,11,1950
4358,11,1951
4359,11,1952
4359,11,1953
4359,11,1954
4360,11,1955
4360,11,1956
4360,11,1957
4360,11,1958
4361,11,1959
4361,11,1960
4361,11,1961
4362,11,1962
4362,11,1963
4362,11,1964
4363,11,1965
4363,11,1966
4363,11,1967
4363,11,1968
4364,11,1969
4364,11,1970
4364,11,1971
4365,11,1972
4365,11,1973
4365,11,1974
4366,11,1975
4366,11,1976
4366,11,1977
4366,11,1978
4367,11,1979
4367,11,1980
4367,11,1981
4368,11,1982
4368,11,1983
4368,11,1984
4369,11,1985
4369,11,1986
4369,11,1987
4370,11,1988
4370,11,1989
4370,11,1990
4370,11,1991
4371,11,1992
4371,11,1993
4371,11,1994
4372,11,1995
4372,11,1996
4372,11,1997
4373,11,1998
4373,11,1999
4373,11,2000
4374,11,2001
4374,11,2002
4374,11,2003
4374,11,2004
4375,11,2005
4375,11,2006
4375,11,2007
4376,11,2008
4376,11,2009
4376,11,2010
4377,11,2011
4377,11,2012
4377,11,2013
4377,11,2014
4378,11,2015
4378,11,2016
4378,11,2017
4379,11,2018
4379,11,2019
4379,11,2020
4380,11,2021
4380,11,2022
4380,11,2023
4380,11,2024
4381,11,2025
4381,11,2026
4381,11,2027
4382,11,2028
4382,11,2029
4382,11,2030
4383,11,2031
4383,11,2032
4383,11,2033
4383,11,2034
4384,11,2035
4384,11,2036
4384,11,2037
4385,11,2038
4385,11,2039
4385,11,2040
4386,11,2041
4386,11,2042
4386,11,2043
4386,11,2044
4387,11,2045
4387,11,2046
4387,11,2047
4388,11,2048
4388,11,2049
4388,11,2050
4389,11,2051
4389,11,2052
4389,11,2053
4389,11,2054
4390,11,2055
4390,11,2056
4391,11,2057
4391,11,2058
4391,11,2059
4391,11,2060
4392,11,2061
4392,11,2062
4392,11,2063
4393,12,2064
4393,12,2065
4393,12,2066
4394,12,2067
4394,12,2068
4394,12,2069
4394,12,2070
4395,12,2071
4395,12,2072
4395,12,2073
4396,12,2074
4396,12,2075
4396,12,2076
4397,12,2077
4397,12,2078
4397,12,2079
4397,12,2080
4398,12,2081
4398,12,2082
4398,12,2083
4399,12,2084
4399,12,2085
4399,12,2086
4400,12,2087
4400,12,2088
4400,12,2089
4400,12,2090
4401,12,2091
4401,12,2092
4401,12,2093
4402,12,2094
4402,12,2095
4402,12,2096
4403,12,2097
4403,12,2098
4403,12,2099
4403,12,2100
4404,12,2101
4404,12,2102
4404,12,2103
4405,12,2104
4405,12,2105
4405,12,2106
4406,12,2107
4406,12,2108
4406,12,2109
4407,12,2110
4407,12,2111
4407,12,2112
4407,12,2113
4408,12,2114
4408,12,2115
4408,12,2116
4409,12,2117
4409,12,2118
4409,12,2119
4410,12,2120
4410,12,2121
4410,12,2122
4411,12,2123
4411,12,2124
4411,12,2125
4411,12,2126
4412,12,2127
4412,12,2128
4412,12,2129
4413,12,2130
4413,12,2131
4413,12,2132
4414,12,2133
4414,12,2134
4414,12,2135
4414,12,2136
4415,12,2137
4415,12,2138
4415,12,2139
4416,12,2140
4416,12,2141
4416,12,2142
4417,12,2143
4417,12,2144
4417,12,2145
4417,12,2146
