ID: 47
cycle: 0
bots_seen: 0
BotDistance: 200
ID: 47
cycle: 0
bots_seen: 0
BotDistance: 200
ID: 47
cycle: 0
bots_seen: 0
BotDistance: 200
ID: 47
cycle: 0
bots_seen: 0
BotDistance: 200
ID: 47
cycle: 0
bots_seen: 0
BotDistance: 200
ID: 47
cycle: 0
bots_seen:47
cycle: 2
bots_seen: 0
BotDistance: 91
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 91
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 91
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 91
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 91
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 85
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 85
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 85
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 85
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 64
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 63
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 63
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 63
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 63
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 63
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 63
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 63
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 63
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 63
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 63
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 63
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 109
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 109
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 92
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 92
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 92
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 92
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 92
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 104
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 104
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 104
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 101
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 101
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 98
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 98
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 98
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 86
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 86
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 86
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 86
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 86
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 86
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 86
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 86
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 86
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 86
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 88
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 88
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 88
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 88
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 88
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 77
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 77
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 85
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 85
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 72
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 72
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 72
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 109
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 109
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 81
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 81
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 81
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 81
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 81
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 60
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 92
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 67
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 67
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 67
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 67
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 90
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 90
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 90
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 90
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 90
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 90
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 90
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 90
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 90
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 90
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 90
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 76
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 85
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 97
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 86
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 86
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 86
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 86
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 82
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 82
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 82
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 82
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 103
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 103
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 103
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 73
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 73
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 73
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 73
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 90
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 103
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 103
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 103
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 103
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 98
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 98
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 98
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 98
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 98
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 98
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 98
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 57
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 81
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 103
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 103
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 105
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 105
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 105
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 80
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 80
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 81
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 81
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 81
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 81
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 81
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 81
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 81
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 81
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 80
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 80
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 80
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 80
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 80
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 80
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 80
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 80
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 80
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 87
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 89
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 80
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 80
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 80
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 80
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 98
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 98
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 100
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 100
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 100
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 100
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 100
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 69
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 69
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 89
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 89
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 89
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 89
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 99
ID: 47
cycle: 2
bots_seen: 0
BotDistance: 99
ID: 47
cycle: 2
